mass,"(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)"
0.0001,(3.113628878900536-4.8848879561967966e-17j),(0.009641500853243078+0j),(0.0005774011281004785+0j),(-0.30936994586464+0.2928907111507033j),(1.2898566233297544-2.914335439641036e-16j),(0.060175706022612595+0j),(-0.18646020097229346+0.060579444330042836j),(3.9940990476089087-1.5042790704323035e-19j),(0.11977401091712472+0j),(-0.05911717406768972+0.027754012174887665j),(12.73695783952565+1.7424042981162566j),(1.289868074445614-4.430050076775771e-16j),(-0.05911717406768972+0.027754012174887665j),(12.73695783952565+1.7424042981162566j),(1.289868074445614-4.430050076775771e-16j),(-0.017668752973147555+0.003627918307589972j),(-1.1092490319443329+0.7525623103806988j),(3.999645149048727-1.0289524181063775e-20j)
0.00010186101701559753,(3.1010154122261477-4.768678526882132e-18j),(0.009641500530900755+0j),(0.0005774011280312421+0j),(-0.310878932779646+0.2928907101379896j),(1.2898562249606371+8.708311849403572e-16j),(0.0601757060153969+0j),(-0.18646020720646386+0.06057944635547427j),(3.993989665691406+9.464160737297808e-20j),(0.11977401090276256+0j),(-0.05920754298044288+0.02775401217467015j),(12.671083611728179+1.7424042980711356j),(1.2898680723418776-3.5822039778921066e-16j),(-0.05920754298044288+0.02775401217467015j),(12.671083611728179+1.7424042980711356j),(1.2898680723418776-3.5822039778921066e-16j),(-0.017668752975266214+0.003627918308024996j),(-1.1092490320773423+0.7525623104709385j),(3.999638547456293-1.2350165449629358e-20j)
0.00010375666787451859,(3.088268611106421-1.9418562326207912e-17j),(0.009641500196449592+0j),(0.0005774011279594051+0j),(-0.312374807068596+0.29289070908723114j),(1.2898558129044568+1.5803330866148713e-15j),(0.060175706007910175+0j),(-0.18646021367483231+0.0605794484569947j),(3.9938782632401137+8.357849111112079e-20j),(0.11977401088786094+0j),(-0.05929712662498093+0.02775401217444447j),(12.605372277135942+1.7424042980243202j),(1.289868070163684-1.2717691483254967e-15j),(-0.05929712662498093+0.02775401217444447j),(12.605372277135942+1.7424042980243202j),(1.289868070163684-1.2717691483254967e-15j),(-0.017668752977464473+0.003627918308476364j),(-1.1092490322153503+0.7525623105645688j),(3.999631823086776+5.348837872833234e-21j)
0.0001056875971184804,(3.0753883164564586+3.671232035772913e-17j),(0.009641499849434743+0j),(0.0005774011278848689+0j),(-0.313857568726636+0.29289070799699946j),(1.2898553866950162+7.632783294297951e-16j),(0.06017570600014215+0j),(-0.18646022038619708+0.06057945063746261j),(3.9937648031707282+1.2094382080956445e-19j),(0.11977401087239943+0j),(-0.059385925001302124+0.0277540121742103j),(12.539823835749036+1.7424042979757448j),(1.2898680679084586+1.5504091066542713e-16j),(-0.059385925001302124+0.0277540121742103j),(12.539823835749036+1.7424042979757448j),(1.2898680679084586+1.5504091066542713e-16j),(-0.017668752979745305+0.0036279183089446866j),(-1.1092490323585416+0.752562310661716j),(3.9996249736580918+4.913135181271269e-21j)
0.00010765446128423159,(3.062374406852516-4.3840733235750473e-17j),(0.009641499489384274+0j),(0.0005774011278075331+0j),(-0.31532721774873+0.2928907068658112j),(1.2898549458504216-1.932481952238163e-15j),(0.060175705992082336+0j),(-0.1864602273496865+0.06057945289984376j),(3.993649247726447-4.2662107361746316e-20j),(0.11977401085635717+0j),(-0.05947393810940499+0.027754012173967352j),(12.474438287567581+1.7424042979253476j),(1.289868065573442+4.4996558562493405e-15j),(-0.05947393810940499+0.027754012173967352j),(12.474438287567581+1.7424042979253476j),(1.289868065573442+4.4996558562493405e-15j),(-0.017668752982111832+0.0036279183094306043j),(-1.1092490325071125+0.7525623107625129j),(3.999617996845788+3.862427937167137e-21j)
0.00010965792912678099,(3.049226799457972-2.4142989060286377e-17j),(0.009641499115808515+0j),(0.0005774011277272917+0j),(-0.31678375412965176+0.2928907056921278j),(1.2898544898725657-2.4528989950312052e-15j),(0.06017570598371975+0j),(-0.1864602345747724+0.06057945524721544j),(3.993531558466051+1.0245405376025003e-19j),(0.11977401083971219+0j),(-0.059561165949287606+0.027754012173715262j),(12.409215632591707+1.7424042978730563j),(1.289868063155851-2.086872341600099e-15j),(-0.059561165949287606+0.027754012173715262j),(12.409215632591707+1.7424042978730563j),(1.289868063155851-2.086872341600099e-15j),(-0.01766875298456725+0.003627918309934774j),(-1.1092490326612643+0.7525623108670961j),(3.999610890282253+5.278319303903882e-21j)
0.00011169868184678226,(3.0359454509467136+1.4894483469341454e-18j),(0.009641498728199418+0j),(0.000577401127644036+0j),(-0.31822717786397986+0.2928907044743529j),(1.2898540182465585-1.0859368959614812e-15j),(0.06017570597504299+0j),(-0.18646024207128215+0.06057945768277047j),(3.993411696251783-7.394251043684548e-20j),(0.11977401082244192+0j),(-0.05964760852094836+0.02775401217345371j),(12.344155870821535+1.7424042978187995j),(1.2898680606527124+9.933460304312192e-16j),(-0.05964760852094836+0.02775401217345371j),(12.344155870821535+1.7424042978187995j),(1.2898680606527124+9.933460304312192e-16j),(-0.01766875298711492+0.0036279183104578863j),(-1.1092490328212077+0.7525623109756084j),(3.9996036515559243+4.2175689436689755e-21j)
0.00011377741332214914,(3.022530358422933-8.338641288497129e-18j),(0.009641498326029835+0j),(0.0005774011275576527+0j),(-0.3196574889460895+0.29289070321083027j),(1.2898535304401642-1.7694179454963432e-16j),(0.060175705966040265+0j),(-0.18646024984941217+0.06057946020982161j),(3.9932896212370177+2.7261050774858732e-19j),(0.11977401080452288+0j),(-0.05973326582438535+0.027754012173182335j),(12.279259002257191+1.7424042977625076j),(1.2898680580610828+1.0367141173306393e-15j),(-0.05973326582438535+0.027754012173182335j),(12.279259002257191+1.7424042977625076j),(1.2898680580610828+1.0367141173306393e-15j),(-0.017668752989758292+0.0036279183110006484j),(-1.1092490329871603+0.7525623110881972j),(3.999596278210467-4.782061835603661e-21j)
0.00011589483034398106,(3.0089815603363266-1.3117378191969527e-17j),(0.009641497908752837+0j),(0.0005774011274680244+0j),(-0.32107468737014266+0.29289070189984107j),(1.2898530259032763+2.1961599205866378e-15j),(0.06017570595669937+0j),(-0.18646025791974227+0.060579462831806104j),(3.9931652928537256+7.734077013166123e-20j),(0.11977401078593068+0j),(-0.059818137859596526+0.027754012172900754j),(12.214525026898846+1.7424042977040963j),(1.2898680553778363-7.745540320236444e-16j),(-0.059818137859596526+0.027754012172900754j),(12.214525026898846+1.7424042977040963j),(1.2898680553778363-7.745540320236444e-16j),(-0.017668752992500966+0.003627918311563801j),(-1.1092490331593452+0.7525623112050155j),(3.9995887677439486-1.8999565182451355e-20j)
0.00011805165285688056,(2.995299137391588+2.12053422899842e-17j),(0.009641497475800937+0j),(0.0005774011273750288+0j),(-0.3224787731300843+0.2928907005396022j),(1.289852504067254+3.642919299551295e-16j),(0.060175705947007524+0j),(-0.1864602662932494+0.06057946555229033j),(3.9930386697997284+8.761702747307999e-20j),(0.11977401076664002+0j),(-0.05990222462658013+0.0277540121726086j),(12.149953944746597+1.7424042976434932j),(1.2898680525996973-4.92227786308419e-16j),(-0.05990222462658013+0.0277540121726086j),(12.149953944746597+1.7424042976434932j),(1.2898680525996973-4.92227786308419e-16j),(-0.017668752995346673+0.003627918312148109j),(-1.1092490333379992+0.7525623113262222j),(3.999581117607993-1.752049856546931e-20j)
0.00012024861420374123,(2.9814832134511495-3.517264365354407e-17j),(0.009641497026585349+0j),(0.0005774011272785397+0j),(-0.3238697462196299+0.29289069912826365j),(1.2898519643443525-1.3634926521177704e-15j),(0.06017570593695159+0j),(-0.18646027498132325+0.06057946837497465j),(3.992909710025734+8.996622036306549e-20j),(0.11977401074662465+0j),(-0.059985526125333984+0.027754012172305463j),(12.085545755800617+1.7424042975806133j),(1.2898680497233652-3.320694413888603e-15j),(-0.059985526125333984+0.027754012172305463j),(12.085545755800617+1.7424042975806133j),(1.2898680497233652-3.320694413888603e-15j),(-0.017668752998299283+0.0036279183127543666j),(-1.1092490335233647+0.752562311451982j),(3.9995733252069208-1.013931171567947e-20j)
0.00012248646137509307,(2.967533956429992+2.278075343610195e-17j),(0.009641496560495151+0j),(0.000577401127178426+0j),(-0.32524760663226054+0.2928906976639057j),(1.2898514061271023+2.7408630920433552e-15j),(0.060175705926517935+0j),(-0.18646028399578105+0.06057947130369839j),(3.9927783707221565+1.2168274184942116e-19j),(0.11977401072585744+0j),(-0.06006804235585597+0.027754012171990958j),(12.021300460061067+1.7424042975153726j),(1.2898680467453598+2.3676807042738446e-15j),(-0.06006804235585597+0.027754012171990958j),(12.021300460061067+1.7424042975153726j),(1.2898680467453598+2.3676807042738446e-15j),(-0.01766875300136281+0.0036279183133834008j),(-1.109249033715694+0.7525623115824667j),(3.999565387896873+7.517485757987586e-22j)
