mass,"(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)"
0.0001,(3.113628878900536+2.857583948332692e-32j),(0.009641575542363673+0j),(0.0005774011441422253+0j),(-0.42719068083793243+0.2914862314482183j),(1.2836452447159636-2.924745607542594e-15j),(0.05963397280480369-2.733500705626104e-14j),(-0.18645497144367126+0.060578036484634834j),(3.9940990476089087-1.8534001859479694e-34j),(0.11991745620948703+0j),(-0.06627713190578899+0.027746002039613017j),(-0.9529696743357869+1.7432505355430292j),(1.2894957129567266-5.1056129668525e-18j),(-0.03829631368919045+0.009636520159582142j),(-0.97226312885814+1.6452261454876465j),(1.213600570450594+1.5471425333954515e-15j),(-0.017668751307991094+0.003627918005210179j),(-1.103554048732743+0.7498632806981531j),(3.9996451490487273+1.3248664672245477e-35j)
0.00010186101701559753,(3.1010154122261473+1.0221844460375963e-31j),(0.00964157522001136+0j),(0.000577401144072989+0j),(-0.4271662712366265+0.2914862304403631j),(1.2836448482588787+1.242163637846574e-15j),(0.05963397279746247+1.2489356547604213e-14j),(-0.18645497767781177+0.06057803851006627j),(3.993989665691406+5.064231067843929e-29j),(0.11991745619505592+0j),(-0.06627566366952098+0.02774600203939557j),(-0.9529696702516021+1.7432505354979222j),(1.2894957108535967-2.7318446805686683e-15j),(-0.038296313882464295+0.009636520216598492j),(-0.9722631024945286+1.6452261454450756j),(1.2136005684661417-3.287321381919075e-15j),(-0.017668751310109757+0.0036279180056452034j),(-1.1035540488655469+0.7498632807883929j),(3.999638547456293+1.251372296616037e-27j)
0.00010375666787451859,(3.0882686111064213+7.605928206592692e-31j),(0.009641574885549835+0j),(0.0005774011440011515+0j),(-0.4271411720942483+0.29148622939464597j),(1.2836444381803922-4.375830346794347e-16j),(0.059633972789972484+2.499277299928263e-14j),(-0.18645498414614917+0.06057804061158671j),(3.9938782632401137+7.937402868476657e-30j),(0.11991745618008275+0j),(-0.0662741539593012+0.02774600203916995j),(-0.9529696660139882+1.743250535451121j),(1.2894957086760466-2.448105292022344e-15j),(-0.03829631408299883+0.009636520275756764j),(-0.9722630752127528+1.645226145400906j),(1.2136005664114622-3.7294256895577625e-15j),(-0.017668751312308016+0.003627918006096571j),(-1.1035540490033398+0.749863280882023j),(3.999631823086776+1.810760508119123e-27j)
0.0001056875971184804,(3.0753883164564586+3.1547409439952466e-32j),(0.009641574538524236+0j),(0.000577401143926616+0j),(-0.4271153654260193+0.29148622830964466j),(1.2836440140165672-2.5681979980751473e-17j),(0.05963397278218084+2.7622487761792147e-14j),(-0.18645499085748157+0.06057804279205461j),(3.9937648031707282+1.1387862369967288e-29j),(0.11991745616454703+0j),(-0.06627260169348403+0.027746002038935853j),(-0.9529696616171845+1.7432505354025614j),(1.2894957064214743-1.7641764826548321e-15j),(-0.038296314291066835+0.009636520337137416j),(-0.972263046981035+1.645226145355077j),(1.2136005642841088-3.233258348868835e-15j),(-0.01766875131458885+0.003627918006564894j),(-1.1035540491463087+0.7498632809791703j),(3.9996249736580918+1.866650008222599e-27j)
0.00010765446128423159,(3.0623744068525154+1.0686284953044322e-31j),(0.00964157417846261+0j),(0.0005774011438492798+0j),(-0.4270888328363099+0.2914862271838834j),(1.283643575287853-2.0734428518500416e-15j),(0.0596339727742143+1.7658009501040595e-14j),(-0.18645499782093758+0.06057804505443577j),(3.9936492477264465+8.160964460903895e-29j),(0.11991745614842769+0j),(-0.06627100576571887+0.027746002038692964j),(-0.9529696570552091+1.7432505353521774j),(1.289495704087125-1.66210551968432e-16j),(-0.0382963145069512+0.009636520400823943j),(-0.972263017766503+1.645226145307526j),(1.213600562081474-1.1594082412268213e-15j),(-0.01766875131695537+0.0036279180070508104j),(-1.1035540492946487+0.749863281079967j),(3.9996179968457874+2.7985943801774013e-27j)
0.00010965792912678099,(3.0492267994579723+3.5254443175689785e-31j),(0.009641573804875275+0j),(0.0005774011437690378+0j),(-0.42706155551149066+0.29148622601583096j),(1.283643121498495+2.1570739270501806e-16j),(0.059633972766053-5.155061578318871e-15j),(-0.18645500504598872+0.060578047401807444j),(3.993531558466051-6.64277191463697e-29j),(0.11991745613170282+0j),(-0.06626936504452025+0.02774600203844095j),(-0.9529696523218557+1.7432505352999008j),(1.2894957016702238+5.073270283898668e-16j),(-0.03829631473094569+0.009636520466902963j),(-0.9722629875351532+1.645226145258189j),(1.2136005598009407+7.714812623293673e-16j),(-0.017668751319410793+0.0036279180075549813j),(-1.1035540494485614+0.7498632811845505j),(3.9996108902822534+1.377675228068074e-27j)
0.00011169868184678226,(3.035945450946713+2.7202121931109617e-32j),(0.009641573417254166+0j),(0.0005774011436857828+0j),(-0.4270335142127469+0.2914862248038985j),(1.2836426521361042+5.670135692266099e-16j),(0.05963397275731683+7.704481774534815e-15j),(-0.18645501254246238+0.06057804983736246j),(3.993411696251783-9.068326046384999e-29j),(0.11991745611434965+0j),(-0.06626767837283576+0.027746002038179476j),(-0.9529696474106907+1.7432505352456604j),(1.28949569916783-9.030045173308257e-16j),(-0.038296314963354894+0.009636520535464363j),(-0.972262956251822+1.6452261452069985j),(1.2136005574397544-1.289654311978356e-15j),(-0.01766875132195846+0.003627918008078093j),(-1.103554049608256+0.7498632812930628j),(3.9996036515559243-6.746746270580368e-28j)
0.00011377741332214914,(3.0225303584229333-6.803754173858736e-32j),(0.009641573015072125+0j),(0.0005774011435993995+0j),(-0.4270046892688581+0.2914862235464377j),(1.2836421666709916-8.077069701472269e-16j),(0.05963397274865277-8.497089145843546e-15j),(-0.18645502032055505+0.060578052364413604j),(3.9932896212370177-7.714631143198271e-29j),(0.11991745609634455+0j),(-0.06626594456761242+0.027746002037908172j),(-0.9529696423150299+1.7432505351893823j),(1.2894956965769446+1.1715389346381131e-15j),(-0.038296315204495+0.00963652060660139j),(-0.9722629238801278+1.645226145153885j),(1.2136005549950486+1.5880895696791056e-15j),(-0.01766875132460183+0.0036279180086208553j),(-1.1035540497739498+0.7498632814056514j),(3.999596278210467+2.9429954401649842e-28j)
0.00011589483034398106,(3.008981560336326-5.07170671539313e-31j),(0.009641572597782195+0j),(0.0005774011435097708+0j),(-0.4269750605689468+0.29148622224173815j),(1.2836416645556803+1.5792566495103948e-15j),(0.05963397273943945-2.240430138244084e-14j),(-0.18645502839084635+0.0605780549863981j),(3.993165292853726+1.099651539624037e-28j),(0.11991745607766309+0j),(-0.06626416241936084+0.02774600203762668j),(-0.9529696370279455+1.74325053513099j),(1.2894956938944793+2.1723087529740035e-15j),(-0.038296315454693974+0.009636520680410805j),(-0.9722628903824493+1.6452261450987762j),(1.2136005524639433+3.322175419553259e-15j),(-0.017668751327344506+0.0036279180091840077j),(-1.1035540499458683+0.7498632815224698j),(3.9995887677439486+3.387216636566395e-28j)
0.00011805165285688056,(2.995299137391588-4.023870077161541e-31j),(0.009641572164816882+0j),(0.0005774011434167753+0j),(-0.4269446075552006+0.2914862208880253j),(1.2836411452242695-3.656692786178408e-16j),(0.059633972729781576-2.3789193623860694e-14j),(-0.1864550367643133+0.060578057706882335j),(3.993038669799729+1.4966482583062047e-28j),(0.11991745605827982+0j),(-0.06626233069171783+0.027746002037334606j),(-0.9529696315422448+1.7432505350704042j),(1.2894956911171294-7.331254917168409e-16j),(-0.038296315714292095+0.009636520756993j),(-0.9722628557198686+1.645226145041597j),(1.2136005498433147+6.587441655682037e-16j),(-0.017668751330190212+0.0036279180097683154j),(-1.1035540501242451+0.7498632816436765j),(3.999581117607993-8.578463535534427e-28j)
0.00012024861420374123,(2.98148321345115+1.3168536231595444e-32j),(0.009641571715587372+0j),(0.0005774011433202868+0j),(-0.4269133092155715+0.2914862194834578j),(1.2836406080918317+2.1164285466878182e-15j),(0.059633972719645295+1.109999090690589e-15j),(-0.18645504545234537+0.06057806052956665j),(3.9929097100257342+8.865036648861982e-29j),(0.11991745603816838+0j),(-0.06626044812100751+0.027746002037031564j),(-0.9529696258504697+1.743250535007542j),(1.2894956882416495+5.212047517163821e-15j),(-0.03829631598364247+0.009636520836452143j),(-0.9722628198521376+1.6452261449822698j),(1.2136005471301008+4.8559490130664646e-15j),(-0.017668751333142826+0.003627918010374574j),(-1.1035540503093229+0.7498632817694365j),(3.9995733252069208+2.0334454391300478e-27j)
0.00012248646137509307,(2.9675339564299916+5.47419994872601e-31j),(0.009641571249482735+0j),(0.0005774011432201728+0j),(-0.4268811440764567+0.2914862180261252j),(1.283640052553824+3.9416117640617983e-16j),(0.059633972709367974-2.1782520195103535e-16j),(-0.18645505446675978+0.060578063458290386j),(3.992778370722157-5.982089875020525e-30j),(0.11991745601730143+0j),(-0.0662585134158018+0.02774600203671714j),(-0.9529696199448741+1.7432505349423186j),(1.2894956852645103+8.701784120040766e-16j),(-0.038296316263111474+0.009636520918896309j),(-0.9722627827376221+1.6452261449207142j),(1.2136005443209519+8.336147284119171e-16j),(-0.017668751336206358+0.003627918011003608j),(-1.1035540505013535+0.7498632818999211j),(3.999565387896873-1.4714977539230584e-27j)
0.00012476595526308696,(2.9534515791813907-2.7562296364056627e-32j),(0.009641570765869098+0j),(0.0005774011431162976+0j),(-0.42684809019536524+0.29148621651404527j),(1.2836394779853366-1.6897660462402796e-15j),(0.05963397269847895+1.510465156957404e-14j),(-0.18645506381981783+0.060578066497037134j),(3.9926446083057168-1.1581839907962435e-29j),(0.11991745599565057+0j),(-0.06625652525647974+0.027746002036390896j),(-0.9529696138174295+1.7432505348746452j),(1.289495682182149+9.431293385289268e-16j),(-0.038296316553079246+0.009636521004437636j),(-0.9722627443332661+1.645226144856846j),(1.2136005414125326+3.25209621328834e-17j),(-0.01766875133938497+0.003627918011656272j),(-1.103554050700598+0.7498632820353075j),(3.999557302984918-1.336321367453666e-27j)
0.0001270878709202058,(2.93923634037241+1.811183693356256e-32j),(0.009641570264088779+0j),(0.0005774011430085207+0j),(-0.4268141251535747+0.2914862149451614j),(1.2836388837405277+4.201005609288469e-15j),(0.059633972687454795+1.1061277350802998e-15j),(-0.1864550735242414+0.06057806964994016j),(3.992508378405814-5.434581493568765e-29j),(0.11991745597318636+0j),(-0.0662544822947862+0.027746002036052403j),(-0.9529696074598015+1.7432505348044292j),(1.2894956789908865+3.4132513671150723e-15j),(-0.03829631685394019+0.009636521093192477j),(-0.9722627045945351+1.6452261447905778j),(1.2136005384013433+3.1585204264664903e-15j),(-0.017668751342683+0.003627918012333455j),(-1.1035540509073276+0.7498632821757798j),(3.999549067728146+3.6601233610042127e-29j)
0.0001294529978227916,(2.9248885453478946-4.119432335296212e-31j),(0.009641569743459396+0j),(0.0005774011428966954+0j),(-0.42677922604878393+0.2914862133173397j),(1.2836382691518942-1.942713208996213e-15j),(0.059633972675786864+7.889419519537761e-15j),(-0.1864550835932303+0.06057807292128799j),(3.992369635850673-5.465841312779245e-29j),(0.11991745594987825+0j),(-0.06625238315339033+0.027746002035701198j),(-0.9529696008633393+1.7432505347315754j),(1.2894956756869125+4.299772548302602e-15j),(-0.03829631716610343+0.009636521185281554j),(-0.9722626634753673+1.6452261447218213j),(1.2136005352838168+3.6100664348732945e-15j),(-0.017668751346104926+0.003627918013036078j),(-1.1035540511218231+0.7498632823215293j),(3.9995406793327386+9.846338595581397e-28j)
0.00013186214013947485,(2.9104085469817425+7.797326745475583e-32j),(0.009641569203272932+0j),(0.0005774011427806677+0j),(-0.4267433694877648+0.29148621162836585j),(1.2836376335295057+4.72956591692393e-16j),(0.05963397266385611-3.708113442140201e-15j),(-0.1864550940404801+0.060578076315530215j),(3.9922283346532583-8.69715774322763e-30j),(0.11991745592569454+0j),(-0.0662502264254442+0.02774600203533679j),(-0.9529695940190784+1.743250534655985j),(1.2894956722661943+1.2942316866176015e-15j),(-0.038296317489993736+0.009636521280830122j),(-0.9722626209281309+1.645226144650481j),(1.2136005320561258+1.4319863051923305e-15j),(-0.017668751349655402+0.003627918013765095j),(-1.103554051344377+0.7498632824727541j),(3.9995321349530313+4.2826857469673515e-28j)
0.00013431611700460153,(2.8957967465141587-9.970494366162612e-32j),(0.009641568642794788+0j),(0.0005774011426602825+0j),(-0.4267065315790209+0.29148620987594265j),(1.2836369761603303+2.043244835346339e-15j),(0.059633972651346845+7.023592856638351e-16j),(-0.18645510488020112+0.06057807983728367j),(3.9920844279969536+1.6424815800412044e-29j),(0.11991745590060232+0j),(-0.06624801067414199+0.0277460020349587j),(-0.9529695869177036+1.7432505345775546j),(1.289495668724647-7.280306363045807e-16j),(-0.03829631782605153+0.009636521379968142j),(-0.9722625769035518+1.645226144576461j),(1.2136005287144327-7.269697440243072e-16j),(-0.017668751353339257+0.0036279180145215j),(-1.1035540515752909+0.74986328262966j),(3.9995234316905512+7.3782552509546075e-28j)
0.0001368157627967472,(2.881053594373591+2.587274680427803e-31j),(0.009641568061262764+0j),(0.0005774011425353748+0j),(-0.42666868792545465+0.29148620805768655j),(1.283636296307467+3.4790218560481653e-15j),(0.05963397263822852+3.587992229367335e-14j),(-0.18645511612713736+0.060578083491338565j),(3.991937868221003-9.351458163209113e-30j),(0.11991745587456745+0j),(-0.0662457344322791+0.027746002034566404j),(-0.9529695795495581+1.743250534496178j),(1.2894956650580738+5.376418568279818e-15j),(-0.038296318174733945+0.00963652148283046j),(-0.9722625313506783+1.6452261444996599j),(1.2136005252547788+3.0369945694681362e-15j),(-0.017668751357161498+0.003627918015306319j),(-1.1035540518148796+0.7498632827924601j),(3.9995145665930396+2.5887961577690627e-28j)
0.0001393619274224142,(2.8661795909820245+1.2404844743727235e-31j),(0.009641567457886044+0j),(0.0005774011424057748+0j),(-0.42662981361705293+0.2914862061711244j),(1.283635593209253-3.1583010079927563e-15j),(0.05963397262493273+5.534328439332762e-15j),(-0.1864551277965867+0.0605780872826651j),(3.9917886068057116-1.0855605186530813e-28j),(0.11991745584755456+0j),(-0.06624339620181319+0.02774600203415937j),(-0.9529695719046223+1.7432505344117444j),(1.2894956612619728-2.8590593489627127e-15j),(-0.03829631853651522+0.009636521589556989j),(-0.9722624842168098+1.6452261444199747j),(1.2136005216728905-3.012506867480327e-15j),(-0.017668751361127333+0.0036279180161206226j),(-1.103554052063469+0.7498632829613763j),(3.999505536653456+1.6175740003979043e-27j)
0.00014195547660501016,(2.85117528754226-3.589115811015488e-31j),(0.009641566831844101+0j),(0.0005774011422713059+0j),(-0.42658988322359237+0.2914862042136901j),(1.283634866078673-2.4506346138725183e-15j),(0.05963397261103405+1.803136686579456e-15j),(-0.1864551399044219+0.060578091216420174j),(3.9916365943573973+1.2605293227841786e-28j),(0.1199174558195269+0j),(-0.06624099445342557+0.027746002033737047j),(-0.9529695639724967+1.743250534324139j),(1.2894956573319094+3.0370642257145614e-15j),(-0.038296318911887506+0.009636521700292892j),(-0.9722624354474491+1.645226144337295j),(1.2136005179646068+2.763913500911434e-15j),(-0.01766875136524215+0.0036279180169655166j),(-1.1035540523213971+0.749863283136638j),(3.999496338808966+1.0028207458314958e-27j)
0.00014459729217920195,(2.8360412868058216-8.351509076570377e-32j),(0.009641566182285602+0j),(0.0005774011421317848+0j),(-0.42654887078737347+0.2914862021827212j),(1.2836341141022152-2.118205337017784e-15j),(0.059633972596836046-1.7220821032477667e-14j),(-0.1864551524671118+0.06057809529795446j),(3.991481780593098-6.2964004731627e-29j),(0.1199174557904463+0j),(-0.06623852762608529+0.027746002033298856j),(-0.952969555742393+1.7432505342332423j),(1.2894956532630912-7.381548682231954e-17j),(-0.03829631930136135+0.00963652181518879j),(-0.9722623849862265+1.6452261442515095j),(1.2136005141253878+9.080574294248161e-16j),(-0.017668751369511546+0.0036279180178421496j),(-1.1035540525890146+0.7498632833184836j),(3.9994869699399076-1.440338601538899e-27j)
