mass,"(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)"
0.0001,0j,0j,0j,(-0.9559858136810186-0.013726913149077785j),(0.28745478954055526-2.938913388121178e-15j),(0.0005927035816646296-4.586541012767406e-13j),0j,0j,0j,(-0.9956327182184311-0.0008989468432082891j),(-1.0559061380384664+0.10352773750059574j),(0.28972375471795053-5.10708738586616e-18j),(-0.6615690825607765-5.785265671506834e-06j),(-0.7860472479473135-0.08266173015019418j),(0.26092990625018725+1.6456984880468445e-15j),0j,0j,0j
0.00010186101701559753,0j,0j,0j,(-0.9560001087129366-0.013726703080977287j),(0.28745445949447324+1.2481808113806828e-15j),(0.0005927035785415757+2.095589216814972e-13j),0j,0j,0j,(-0.9956335448865175-0.0008989460897901053j),(-1.0559061389083353+0.10352773824861061j),(0.28972375285454216-2.7326335934309522e-15j),(-0.6615690799105018-5.785265939990854e-06j),(-0.7860472715799386-0.08266172939932537j),(0.2609299044987249-3.4967300757192087e-15j),0j,0j,0j
0.00010375666787451859,0j,0j,0j,(-0.9560147581457444-0.013726485121330706j),(0.28745411831613865-4.397027337070223e-16j),(0.0005927035774321507+4.193537545026519e-13j),0j,0j,0j,(-0.9956343916564419-0.000898945308068503j),(-1.0559061398108822+0.1035277390247259j),(0.2897237509257177-2.4488122655069055e-15j),(-0.6615690771606634-5.785266218952603e-06j),(-0.7860472960282263-0.0826617286202489j),(0.26092990268578625-3.966997277955073e-15j),0j,0j,0j
0.0001056875971184804,0j,0j,0j,(-0.956029769545472-0.0137262589736801j),(0.28745376563480096-2.5806386238941086e-17j),(0.0005927035759410171+4.63477740222887e-13j),0j,0j,0j,(-0.9956352589392965-0.0008989444969802161j),(-1.055906140747335+0.10352773982999741j),(0.2897237489292138-1.7646859484851573e-15j),(-0.6615690743075211-5.785266508817957e-06j),(-0.7860473213201115-0.08266172781190506j),(0.2609299008092553-3.4392231234962967e-15j),0j,0j,0j
0.00010765446128423159,0j,0j,0j,(-0.9560451505979257-0.013726024330430492j),(0.28745340106757905-2.083486830817473e-15j),(0.000592703576370493+2.96283752968005e-13j),0j,0j,0j,(-0.9956361471518108-0.0008989436554220371j),(-1.0559061417189668+0.10352774066552006j),(0.28972374686262603-1.6625855090600996e-16j),(-0.6615690713471938-5.785266810028403e-06j),(-0.7860473474844767-0.08266172697319452j),(0.2609298988668627-1.233264775824203e-15j),0j,0j,0j
0.00010965792912678099,0j,0j,0j,(-0.9560609091092376-0.013725780872431786j),(0.2874530242189997+2.167523023891772e-16j),(0.0005927035785698795-8.64967815945208e-14j),0j,0j,0j,(-0.9956370567163297-0.0008989427822493137j),(-1.0559061427270993+0.10352774153243072j),(0.289723744723544+5.07473536286501e-16j),(-0.661569068275655-5.7852671230436414e-06j),(-0.7860473745511838-0.08266172610297629j),(0.26092989685634727+8.206261023575601e-16j),0j,0j,0j
0.00011169868184678226,0j,0j,0j,(-0.9560770530063782-0.013725528268544562j),(0.28745263468070326+5.697602436085341e-16j),(0.0005927035763503008+1.2927350473439534e-13j),0j,0j,0j,(-0.9956379880607886-0.0008989418762743902j),(-1.0559061437731039+0.10352774243190832j),(0.28972374250940436-9.032652905305212e-16j),(-0.6615690650887263-5.7852674483459265e-06j),(-0.7860474025511083-0.0826617252000671j),(0.2609298947753212-1.3718077717558232e-15j),0j,0j,0j
0.00011377741332214914,0j,0j,0j,(-0.956093590337624-0.013725266175189682j),(0.2874522320309154-8.116195891098224e-16j),(0.0005927035807642492-1.425726643360263e-13j),0j,0j,0j,(-0.9956389416186824-0.0008989409362649969j),(-1.0559061448584033+0.10352774336517612j),(0.2897237402176006+1.171877256264074e-15j),(-0.6615690617820731-5.7852677864374605e-06j),(-0.7860474315161708-0.08266172426323826j),(0.2609298926212973+1.6892539292860677e-15j),0j,0j,0j
0.00011589483034398106,0j,0j,0j,(-0.9561105292729861-0.013724994235881j),(0.28745181583410556+1.5869067376513368e-15j),(0.0005927035815887181-3.7592178755055324e-13j),0j,0j,0j,(-0.9956399178290313-0.0008989399609425734j),(-1.0559061459844736+0.10352774433350376j),(0.28972373784545014+2.172936080848192e-15j),(-0.6615690583511975-5.785268137841262e-06j),(-0.7860474614793744-0.08266172329121613j),(0.26092989039179465+3.5338043825776854e-15j),0j,0j,0j
0.00011805165285688056,0j,0j,0j,(-0.9561278781045945-0.013724712080740498j),(0.28745138564050116-3.674406197185595e-16j),(0.0005927035807929068-3.9915889537519004e-13j),0j,0j,0j,(-0.9956409171363421-0.000898938948980528j),(-1.0559061471528464+0.1035277453382083j),(0.28972373539007135-7.333372065826961e-16j),(-0.6615690547914326-5.7852685031046375e-06j),(-0.7860474924748396-0.08266172228267832j),(0.26092988808409423+7.007074357306013e-16j),0j,0j,0j
