mass,"(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)"
0.0001,(1.2664462863449277-4.602451331746504e-17j),(1.5493089784116152e-05+0j),(5.5565343788617553e-08+0j),(-1.0000230189303752+5.592007578468344e-06j),(0.2898583980818401-2.914335439641036e-16j),(0.0006035192658866491+0j),(-2.000003560029902+9.953742533534373e-12j),(1.9941202944588357-1.5042770622274797e-19j),(0.002390968948529253+0j),(-1.0000001185013232+2.0055492633419812e-08j),(-1.0000001185013232+2.0055492633419812e-08j),(0.28986808082833404-4.430050076775771e-16j),(-1.0000001185013232+2.0055492633419812e-08j),(-1.0000001185013232+2.0055492633419812e-08j),(0.28986808082833404-4.430050076775771e-16j),(-2.000000012767724+1.2803148965773284e-16j),(-2.000000012767724+1.2803148965773284e-16j),(1.9996452611678883-1.0289524131798602e-20j)
0.00010186101701559753,(1.2575475794744875-4.482532267277615e-18j),(1.5493088748181136e-05+0j),(5.5565343775291846e-08+0j),(-1.0000238155652847+5.802080536721143e-06j),(0.2898580662836565+8.708311849403572e-16j),(0.0006035192657419129+0j),(-2.0000036937699965+1.0715647902095834e-11j),(1.994011642757833+9.464147628051635e-20j),(0.0023909689479558486+0j),(-1.0000001227087547+2.080891087976071e-08j),(-1.0000001227087547+2.080891087976071e-08j),(0.2898680789643633-3.5822039778921066e-16j),(-1.0000001227087547+2.080891087976071e-08j),(-1.0000001227087547+2.080891087976071e-08j),(0.2898680789643633-3.5822039778921066e-16j),(-2.000000013247365+1.378316104652086e-16j),(-2.000000013247365+1.378316104652086e-16j),(1.9996386635431622-1.2350165388276681e-20j)
0.00010375666787451859,(1.2485913641775215-1.8209259957753708e-17j),(1.5493087673331786e-05+0j),(5.556534376146556e-08+0j),(-1.0000246395684298+6.020045223460938e-06j),(0.28985772329355886+1.5803330866148713e-15j),(0.0006035192655917397+0j),(-2.000003832534379+1.1535873022116351e-11j),(1.9939009954048463+8.357837099365633e-20j),(0.0023909689473609066+0j),(-1.000000127065069+2.159063254713172e-08j),(-1.000000127065069+2.159063254713172e-08j),(0.28986807703493067-1.2717691483254967e-15j),(-1.000000127065069+2.159063254713172e-08j),(-1.000000127065069+2.159063254713172e-08j),(0.28986807703493067-1.2717691483254967e-15j),(-2.0000000137450247+1.483818777257013e-16j),(-2.0000000137450247+1.483818777257013e-16j),(1.9996319432812315+5.3488378452632705e-21j)
0.0001056875971184804,(1.2395785099718641+3.433951662594259e-17j),(1.549308655810642e-05+0j),(5.556534374711982e-08+0j),(-1.0000254918718208+6.246198103579931e-06j),(0.2898573687387578+7.632783294297951e-16j),(0.0006035192654359245+0j),(-2.0000039765118047+1.2418881956392342e-11j),(1.993788316154668+1.209436404615634e-19j),(0.0023909689467436113+0j),(-1.000000131575514+2.2401720901043346e-08j),(-1.000000131575514+2.2401720901043346e-08j),(0.2898680750378171+1.5504091066542713e-16j),(-1.000000131575514+2.2401720901043346e-08j),(-1.000000131575514+2.2401720901043346e-08j),(0.2898680750378171+1.5504091066542713e-16j),(-2.000000014261379+1.5973971110903064e-16j),(-2.000000014261379+1.5973971110903064e-16j),(1.9996250981049235+4.913135154995739e-21j)
0.00010765446128423159,(1.2305099192330164-4.089994015459781e-17j),(1.5493085400988397e-05+0j),(5.55653437322352e-08+0j),(-1.0000263734388684+6.480846779084736e-06j),(0.28985700223426347-1.932481952238163e-15j),(0.000603519265274256+0j),(-2.0000041258981187+1.3369480467678844e-11j),(1.9936735681175315-4.266204135535777e-20j),(0.0023909689461031284+0j),(-1.000000136245523+2.3243279150359017e-08j),(-1.000000136245523+2.3243279150359017e-08j),(0.2898680729705898+4.4996558562493405e-15j),(-1.000000136245523+2.3243279150359017e-08j),(-1.000000136245523+2.3243279150359017e-08j),(0.2898680729705898+4.4996558562493405e-15j),(-2.000000014797132+1.7196692545141517e-16j),(-2.000000014797132+1.7196692545141517e-16j),(1.9996181256948657+3.862427915734817e-21j)
0.00010965792912678099,(1.2213865272893603-2.246217729233153e-17j),(1.549308420040417e-05+0j),(5.556534371679139e-08+0j),(-1.0000272852654293+6.724310407474011e-06j),(0.2898566233824962-2.4528989950312052e-15j),(0.0006035192651065145+0j),(-2.0000042808965257+1.4392842173980191e-11j),(1.9935567137481096+1.0245388928943949e-19j),(0.0023909689454385836+0j),(-1.0000001410807189+2.4116451947833746e-08j),(-1.0000001410807189+2.4116451947833746e-08j),(0.28986807083086363-2.086872341600099e-15j),(-1.0000001410807189+2.4116451947833746e-08j),(-1.0000001410807189+2.4116451947833746e-08j),(0.28986807083086363-2.086872341600099e-15j),(-2.0000000153530118+1.8513006718177667e-16j),(-2.0000000153530118+1.8513006718177667e-16j),(1.999611023688708+5.2783192735145985e-21j)
0.00011169868184678226,(1.2122093024919276+1.3818266661081183e-18j),(1.549308295472106e-05+0j),(5.556534370076744e-08+0j),(-1.0000282283808832+6.976920135832864e-06j),(0.28985623177285236-1.0859368959614812e-15j),(0.000603519264932471+0j),(-2.0000044417178633+1.5494536705888034e-11j),(1.9934377148343339-7.39423872767842e-20j),(0.002390968944749074+0j),(-1.000000146086922+2.5022426947023715e-08j),(-1.000000146086922+2.5022426947023715e-08j),(0.28986806861602066+9.933460304312192e-16j),(-1.000000146086922+2.5022426947023715e-08j),(-1.000000146086922+2.5022426947023715e-08j),(0.28986806861602066+9.933460304312192e-16j),(-2.000000015929773+1.9930077649967732e-16j),(-2.000000015929773+1.9930077649967732e-16j),(1.9996037896803291+4.217568918474635e-21j)
0.00011377741332214914,(1.2029792462579543-7.713294399940369e-18j),(1.5493081662245057e-05+0j),(5.556534368414149e-08+0j),(-1.0000292038492464+7.23901955123401e-06j),(0.2898558269812477-1.7694179454963432e-16j),(0.0006035192647518894+0j),(-2.000004608580891+1.6680560019211322e-11j),(1.9933165324860422+2.7261003662557767e-19j),(0.002390968944033662+0j),(-1.0000001512701568+2.596243641768329e-08j),(-1.0000001512701568+2.596243641768329e-08j),(0.28986806632351536+1.0367141173306393e-15j),(-1.0000001512701568+2.596243641768329e-08j),(-1.0000001512701568+2.596243641768329e-08j),(0.28986806632351536+1.0367141173306393e-15j),(-2.000000016528202+2.145561772760184e-16j),(-2.000000016528202+2.145561772760184e-16j),(1.9995964212190271-4.782061805964081e-21j)
0.00011589483034398106,(1.1936973930874286-1.2096369537400803e-17j),(1.5493080321218557e-05+0j),(5.5565343666891e-08+0j),(-1.0000302127703218+7.510965148058444e-06j),(0.2898554085698133+2.1961599205866378e-15j),(0.0006035192645645244+0j),(-2.000004781712588+1.7957367027874824e-11j),(1.9931931271234529+7.734063145089405e-20j),(0.002390968943291376+0j),(-1.0000001566366596+2.6937758921847217e-08j),(-1.0000001566366596+2.6937758921847217e-08j),(0.2898680639506197-7.745540320236444e-16j),(-1.0000001566366596+2.6937758921847217e-08j),(-1.0000001566366596+2.6937758921847217e-08j),(0.2898680639506197-7.745540320236444e-16j),(-2.0000000171491115+2.309792967985381e-16j),(-2.0000000171491115+2.309792967985381e-16j),(1.999588915808699-1.8999565060266742e-20j)
0.00011805165285688056,(1.1843648105518674+1.9492214055572916e-17j),(1.549307892981794e-05+0j),(5.556534364899241e-08+0j),(-1.0000312562808857+7.79312681287132e-06j),(0.28985497608630917+3.642919299551295e-16j),(0.0006035192643701201+0j),(-2.00000496134846+1.933190673469092e-11j),(1.9930674584654509+8.761686446381939e-20j),(0.0023909689425212024+0j),(-1.0000001621928851+2.7949721052878e-08j),(-1.0000001621928851+2.7949721052878e-08j),(0.2898680614944986-4.92227786308419e-16j),(-1.0000001621928851+2.7949721052878e-08j),(-1.0000001621928851+2.7949721052878e-08j),(0.2898680614944986-4.92227786308419e-16j),(-2.0000000177933464+2.486595176465732e-16j),(-2.0000000177933464+2.486595176465732e-16j),(1.9995812709070018-1.752049844856371e-20j)
