Mass,12\pi \Gamma / (g^2 m_A),Gamma/g^2
0.295,0.0185,0.000144765
0.307,0.0305,0.000248375
0.319,0.0504,0.000426472
0.334,0.0745,0.000660043
0.351,0.11,0.001024163
0.37,0.15,0.001472184
0.397,0.203,0.002137744
0.424,0.276,0.003104161
0.451,0.346,0.004139252
0.478,0.442,0.005604275
0.516,0.627,0.00858196
0.548,0.81,0.011774293
0.568,0.999,0.015051614
0.597,1.38,0.021853584
0.63,1.99,0.033255453
0.664,3.17,0.055833723
0.692,4.66,0.085538427
0.715,6.38,0.121002953
0.734,7.87,0.153228673
0.743,8.54,0.16831233
0.755,8.94,0.179041504
0.767,10,0.203453241
0.774,13.8,0.283327869
0.779,18.2,0.376078143
0.782,14.1,0.292479286
0.787,9.48,0.197902973
0.79,7.51,0.157375193
0.803,6.02,0.128227532
0.885,2.06,0.04835927
0.912,1.61,0.038948431
0.934,1.32,0.032703185
0.954,1.15,0.029101506
0.967,1.08,0.027702533
0.979,1.04,0.027007556
0.989,1.05,0.027545765
0.994,1.13,0.029794361
0.999,1.3,0.034449117
1,1.56,0.04138032
1.001,1.86,0.049387412
1.01,2.34,0.062691185
1.011,4.24,0.113706754
1.012,9.89,0.265488707
1.02,49.5,1.339289977
1.021,9.83,0.266224799
1.03,4.21,0.115024027
1.031,2.33,0.063721184
1.04,1.73,0.047725303
1.05,1.36,0.037878908
1.06,1.21,0.03402205
1.07,1.12,0.031788574
1.08,1.09,0.031226226
1.1,1.06,0.030929137
1.11,1.02,0.030032563
1.13,0.992,0.029734413
1.14,0.974,0.029453239
1.16,0.98,0.030154582
1.18,1.01,0.031613504
1.21,1.06,0.03402205
1.23,1.1,0.03588947
1.27,1.23,0.041436024
1.31,1.34,0.046563471
1.36,1.49,0.053751975
1.41,1.73,0.064704497
1.45,1.86,0.071540207
1.47,1.93,0.075256478
1.48,2.11,0.082834913
1.5,2.26,0.089922619
1.51,2.3,0.092124264
1.53,2.27,0.092126917
1.54,2.26,0.092320555
1.56,2.25,0.09310572
1.57,2.29,0.095368375
1.59,2.39,0.100800868
1.6,2.45,0.103981317
1.62,2.6,0.111726864
1.64,2.65,0.115281328
1.66,2.68,0.118008185
1.69,2.6,0.116554568
1.72,2.62,0.119536074
1.76,2.58,0.120448563
1.78,2.57,0.121345136
1.79,2.51,0.119177975
1.8,2.42,0.115546586
1.86,2,0.098676148
1.88,1.89,0.094251637
1.9,1.88,0.094750323
1.91,1.91,0.09676894
1.93,1.96,0.100341971
1.95,2.1,0.10862334
1.97,2.32,0.121233728
1.98,2.34,0.122899551
2,2.21,0.11724424
